departamento,municipio,genero,menciones,preferencia,confianza,fuentes
"Bogota, D. C.","Bogota, D.C.","Cumbia","3","6","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Planadas","Cumbia","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Yaguara","Folclor","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Espinal","Folclor","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Tuta","Folclor","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Garzon","Folclor","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Magdalena","El Banco","Folclor","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Anolaima","Folclor","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Putumayo","Mocoa","Clasica","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Roldanillo","Clasica","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Cundinamarca","Caparrapi","Hip hop","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Coromoro","Clasica","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Oporapa","Hip hop","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Bolivar","Turbana","Reggaeton","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Sabanagrande","Clasica","2","100","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","San Martin","Folclor","2","67","100","Espacios de las Artes, las Culturas y los Saberes"
"Valle Del Cauca","Andalucia","Folclor","2","67","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Sogamoso","Salsa","2","67","100","Espacios de las Artes, las Culturas y los Saberes"
"Sucre","Sincelejo","Clasica","2","67","100","Espacios de las Artes, las Culturas y los Saberes"
"Guaviare","San Jose Del Guaviare","Clasica","2","67","100","Espacios de las Artes, las Culturas y los Saberes"
"Huila","Gigante","Folclor","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Mesetas","Llanera","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Mesetas","Folclor","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Falan","Folclor","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","El Carmen De Viboral","Electronica","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Quindio","Cordoba","Clasica","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Ipiales","Folclor","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Cesar","Valledupar","Clasica","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"La Guajira","Riohacha","Clasica","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Samaca","Clasica","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Apartado","Llanera","2","50","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","San Andres De Tumaco","Pacifico","2","40","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","San Andres De Tumaco","Clasica","2","40","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ibague","Clasica","2","40","100","Espacios de las Artes, las Culturas y los Saberes"
"Caldas","Manizales","Llanera","2","40","100","Espacios de las Artes, las Culturas y los Saberes"
"Cauca","Popayan","Llanera","2","40","100","Espacios de las Artes, las Culturas y los Saberes"
"Tolima","Ibague","Cumbia","2","40","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","La Ceja","Folclor","2","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Choco","Quibdo","Folclor","2","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Boyaca","Tunja","Folclor","2","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Pasto","Clasica","2","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Pasto","Llanera","2","33","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Piedecuesta","Reggaeton","2","29","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Santander","Bucaramanga","Musica popular","2","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Santander","Bucaramanga","Clasica","2","25","100","Espacios de las Artes, las Culturas y los Saberes"
"Narino","Policarpa","Reggaeton","2","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Villavicencio","Llanera","2","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Meta","Villavicencio","Folclor","2","20","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Giron","Salsa","2","20","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Giron","Musica popular","2","20","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Sin dato","Giron","Folclor","2","20","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
"Norte De Santander","San Jose De Cucuta","Electronica","2","18","100","Espacios de las Artes, las Culturas y los Saberes"
"Norte De Santander","San Jose De Cucuta","Musica popular","2","18","100","Espacios de las Artes, las Culturas y los Saberes"
"Atlantico","Barranquilla","Musica popular","2","14","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Medellin","Salsa","2","12","100","Espacios de las Artes, las Culturas y los Saberes"
"Antioquia","Medellin","Llanera","2","12","100","Espacios de las Artes, las Culturas y los Saberes"
"Sin dato","Floridablanca","Rock","2","7","67","CARACTERIZACION ESTUDIANTES ADMITIDOS ESCUELA MUNICIPAL DE ARTES Y OFICIO DE BUCARAMANGA"
