nombre,departamento,municipio,tipo,anio,fecha,calidad,fuente,dataset_id,fecha_extraccion
"Buenaventura - Discapacidad","Valle Del Cauca","Buenaventura","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Medellin - Discapacidad 1","Antioquia","Medellin","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Medellin - Discapacidad 2","Antioquia","Medellin","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Renacer Pacifico","Narino","San Andres De Tumaco","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Floridablanca Discapacidad","Santander","Floridablanca","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Canto A La Vida","Antioquia","Caucasia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta San Juan Del Cesar","La Guajira","San Juan Del Cesar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Alto Charco","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Casco Urbano","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Chacua Coral","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Delicias","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Union","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Pablo Neruda","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Perico","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Romeral","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"San Benito","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"San Miguel","Cundinamarca","Sibate","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Aguadas","Caldas","Aguadas","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"El Carmelo","Archipielago De San Andres, Providencia Y Santa Catalina","San Andres","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Dabeiba","Antioquia","Dabeiba","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Guatiguara","Santander","Piedecuesta","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta San Onofre","Sucre","San Onofre","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Saravena","Arauca","Saravena","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta San Vicente Del Caguan","Caqueta","San Vicente Del Caguan","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Agustin Codazzi","Cesar","Agustin Codazzi","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Paraguachon","La Guajira","Maicao","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Granada (Meta)","Meta","Granada","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Miramar","Valle Del Cauca","Buenaventura","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Mitu","Vaupes","Mitu","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Fusagasuga","Cundinamarca","Fusagasuga","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Aguazul","Casanare","Aguazul","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Leticia","Amazonas","Leticia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Villagarzon","Putumayo","Villagarzon","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Interludio","Caldas","Manizales","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Armenia","Quindio","Armenia","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Valle Del Guamuez","Putumayo","Valle Del Guamuez","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Puerto Narino","Amazonas","Puerto Narino","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Calamar","Guaviare","Calamar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Mutata","Antioquia","Mutata","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta El Carmen De Bolivar","Bolivar","El Carmen De Bolivar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"El Salado","Bolivar","El Carmen De Bolivar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Convencion","Norte De Santander","Convencion","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Semillas De Paz","Tolima","Planadas","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Puerto Carreno Se","Vichada","Puerto Carreno","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Bojaya","Choco","Bojaya","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Policarpa","Narino","Policarpa","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta San Jacinto","Bolivar","San Jacinto","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Dibulla","La Guajira","Dibulla","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Tibu","Norte De Santander","Tibu","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Inirida","Guainia","Inirida","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Turbo","Antioquia","Turbo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Ocana","Norte De Santander","Ocana","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Allegro","Valle Del Cauca","Buenaventura","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Urrao","Antioquia","Urrao","Formacion","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Istmina","Choco","Istmina","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Fundacion","Magdalena","Fundacion","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Alma Musical","Narino","Samaniego","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Samaniego","Narino","Samaniego","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Corozal","Sucre","Corozal","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Orito","Putumayo","Orito","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Preludio","Putumayo","Orito","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Cocorna","Antioquia","Cocorna","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Montelibano","Cordoba","Montelibano","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Cienaga","Magdalena","Cienaga","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Granada (Antioquia)","Antioquia","Granada","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Cartagena Del Chaira","Caqueta","Cartagena Del Chaira","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Pitalito","Huila","Pitalito","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Hatonuevo","La Guajira","Hatonuevo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Anori","Antioquia","Anori","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Soledad","Atlantico","Soledad","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Miguel Angel Martin","Arauca","Tame","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Samana","Caldas","Samana","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Esperanza","Huila","Neiva","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Paz","Narino","Pasto","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Comuna 1","Santander","Barrancabermeja","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Lisboa","Bogota, D. C.","Bogota, D.C.","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Ricardo Gonzalez","Cesar","Valledupar","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Arauca","Arauca","Arauca","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"El Pinal","Antioquia","Bello","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"La Inmaculada","Antioquia","Rionegro","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Ciudad Bicentenario","Bolivar","Cartagena De Indias","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Colombiaton","Bolivar","Cartagena De Indias","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Tierralta","Cordoba","Tierralta","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Batuta Pereira","Risaralda","Pereira","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Altos De La Sabana","Sucre","Sincelejo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Compaz","Valle Del Cauca","Santiago De Cali","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Vozes","Valle Del Cauca","Santiago De Cali","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Moderatto","Valle Del Cauca","Buenaventura","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
"Neivo J. Moreno","Choco","Quibdo","Centro Musical Batuta","Sin dato","","80","Espacios de las Artes, las Culturas y los Saberes","te39-v28f","2026-05-09"
